,addr,mobile,realname
105,福建省南平市建瓯市锦江A座12号爱玛专卖,13960615907/0599-8238151,建瓯市饶氏电动自行车店
106,福建省南平市浦城县江滨大道107-108号下水南桥头,13859325888/13860023515,浦城县陈小烨电动车商行
107,福建省武夷山市五九南路197号,13656965111/13459919940,武夷山市子心车行
108,福建省宁德市古田县614路71号,13950554098,古田县新兴华利电动车行
109,福建省宁德市屏南县东环北路500号,15259051388,屏南雨晟电动车商行
110,福建省宁德市福鼎市中山南路590-592号,13850399771,福鼎市鼎力车行
111,福建省宁德市福安市甘棠镇府前路A4-6,18959319558,福安市甘棠隆发车行
112,福建省宁德市福安市鹤翔路89号,13860385398,福安市顺利助动自行车车行
113,福建省宁德市霞浦县目海路52号,13706032130,霞浦县胡东平车行
114,福建省福州市晋安区鼓山镇招贤路8号,13860664431,福州新富达贸易有限公司
115,福建省福州市平潭县豪香大酒店西侧134号爱玛专卖店,13358288368,平潭县林珽电动自行车店
116,福建省福州市罗源县凤山镇妈祖前新村57#楼014号,13635261187,罗源县城关榕祥自行车店
117,福建省福州市永泰县樟城镇龙峰园6-1号,13110521999,永泰县樟城龙峰园安安摩托车店
118,福建省福州市闽侯县南屿镇南井十字路口,13763803476,闽侯县南屿嘉业摩托车店
119,福建省福州市连江县凤城镇金安西路西凤苑1号楼电信局对面爱玛车行12号店,18950321680,连江县凤城镇爱玛电动车店
120,福建省福州市闽清县梅城镇西大陆532号,13400550504,闽清长鸿工贸有限公司
121,福建省福州市连江县潘渡乡安新天地贵荣苑负一层35、36店面,15334248888,连江县潘渡乡谦恩自行车店
122,福建省福州长乐市金峰镇董朱礼堂旁,13905901910,长乐金峰春利摩托车店
123,福建省福州市闽清县池园镇后村商贸街,15985706883,闽清县池园克涛摩托车店
124,福建省福州福清市江滨路3号,15959076618/15959030399,福清三亚贸易有限公司
125,福建省莆田市荔城区梅园路900号,13799669139,莆田市荔城区腾飞电动车店
126,福建省莆田市仙游县柳安路新车站红绿灯旁边,13850217755,仙游县鲤南阿朝电动车行
127,仙游县榜头镇光明南路法院旁,13706085648,仙游县榜头镇吓彬立马电动车行
128,莆田市秀屿区笏石镇西天尾停车场对面爱玛电动车,18605014822,莆田市秀屿区笏石启迪车行
129,福建省莆田市涵江区武夷大厦11、12、13号,13615987198,莆田市涵江区福玛电动车行
130,福建省泉州市泉港区南山中路汇丰大厦,13600770955,泉港区奋达电动车商行
131,福建省泉州市丰泽区清源西贤路西华公寓101-102号,15159513173,丰泽区银海电动车行
132,福建省泉州市惠安县崇武镇五峰村惠崇莲岛路,18859591868,惠安县崇武亚扁电动车行
133,福建省泉州市晋江市青阳朱安中路世纪花园2栋123号,13636973562,晋江市青阳安达电动车行
134,福建省泉州市鲤城区中山南路297号,13305055123,泉州市金台凌新能源有限公司
135,福建省石狮市濠江路津花园,13505056969,石狮市众鸿摩托车店
136,福建省厦门市仙岳路1391号,15260075555,厦门尚好捷电动车有限公司
137,福建省厦门市翔安区马巷镇巷西路桐梓社区,13774651780,厦门市翔安区超爱骑电动车经营部
138,福建省厦门市海沧区海达路172号,18850220780,厦门市海沧区鑫佳苑自行车商行
139,福建省厦门市同安区天环城北路同安一中旁爱玛专卖店,15859258695,厦门市同安区捷超摩托车店
140,福建省厦门市集美区杏滨街道杏西路31号,18859243650,厦门市集美区张思剑摩托车行
141,甘肃省庆阳市西峰区二中北门西侧,13993422211,西峰区安骐车行
142,甘肃省平凉市崆峒区新安小区38号,13993398321,平凉市崆峒区吉原车行
143,甘肃省平凉市泾川县建设路,18693332888,泾川县远行品牌电动车专卖店
144,甘肃省兰州市城关区段家滩20号,13919880662,段家滩金翔电动车行
145,甘肃省武威市东大街39号凉州医院对面森祥车业,13519351111,武威市森祥车业科贸有限责任公司
146,甘肃省陇南市武都区,13830987633,武都爱玛电动车滨河店
147,甘肃省嘉峪关市五一南路108-3号,13830791878,嘉峪关市安鹏商贸中心
148,甘肃省金昌市公园路34号,13830555882,公园路益顺三超电器店
149,甘肃省天水市泰州区解放路金怡园12号,13689423711,秦州区爱玛电动车天水总经销
150,甘肃省酒泉敦煌市党河南路126号爱玛专卖店,18793739242,敦煌市金山永宏车业
151,甘肃省张掖市甘州区鸿宇商贸广场中心路31-33号,13993604922,甘肃省张掖市代文忠
152,广东省茂名市文明中路荔红四街135号,13500070089,茂名市城区宇运电动自行车批发商行
153,广东省茂名高州市高凉西路10号,13326569333,高州市三菱摩托车行
154,广东省茂名市电白县平安路1号,13189580730,电白县水东镇华宇电动车行
155,广东省阳春市阳宾大道67号,13829855433,阳春市万隆摩托车行
156,广东省阳江市阳西县新城一区宋康路15号,15819163636,阳西县锐丰车行
157,广东省湛江市霞山区民有路4号之1，之2号铺,13809757319,湛江市爱贸贸易有限公司
158,广东省湛江市廉江市安铺镇新华书店一楼,13822531998,廉江市安铺鼎盛摩托车行
159,广东省廉江市良垌镇邮政局对面,13421746111,廉江市雅力车城
160,广东省湛江市徐闻县德新一路68号,13827187778,徐闻县梅红车行
161,广东省湛江市吴川梅录街道人民中路85、87号,15975936606,吴川市梅录小刀电动车店
162,广东省湛江市雷州市西湖大道88号,13434659288,雷州市才智车行
163,广东省湛江市遂溪县遂城镇湛川路28号,18933795354,遂溪县遂城亿富摩托车商行
164,广东省湛江市廉江市中山五路48号,13659752228,廉江市廉通贸易有限公司
165,广东省湛江市坡头区南调路30号,18924400858,湛江市坡头区南调华伟车行
166,广东省云浮市新兴县新城镇沿江中路（交警中队旁边）,13824690800,新兴县新城镇爱玛电动车行
167,广东省云浮市郁南县都城镇一环中路15号首层,15811771839,郁南县都城镇凯骑电动车经营部
168,广东省云浮市市区兴云东路265号之一首层东起第六卡,13602962176,云城区凌运摩托车行
169,广东省云浮市罗定市大岗东路128号,15918521501,罗定市鸿鑫电动自行车行
170,广东省江门市堤东路179号雅信贸易有限公司,13702273778,江门市雅信贸易有限公司
171,广东省江门市开平市三埠区新昌新华路144号铺位,13702221211,开平市三埠区中铃电动车行
172,鹤山市沙坪镇人民西路1号之二十二，二十三,13702290321,鹤山市沙坪金雅电动车行
173,恩平市新平中路52号,13822327502,恩平市新豪车行
174,广东省江门市台山市台城桥湖路12号,13702705566,台山市台城建通车业销售行
175,佛山市三水区西南街道同福路12号05,13902858240,佛山市三水区西南街一路顺自行车店
176,广东省佛山市高明区荷城街道沧江路108号,13928530628,佛山市高明区和成车行
177,广东省佛山市高明区明城镇明六路12号明城广场C6号铺,18664290336,佛山市高明区明城镇开创摩托车行
178,广东省佛山市顺德区大良环市北路33号恒丰楼13-14号铺,13326733914,顺德区大良晨阳电动车经营部
179,佛山市顺德区北滘镇北滘跃进北路11号,13380262759,佛山市顺德区北滘潘远仕五金店
180,佛山市顺德区乐从镇乐从居委会新马路海日名苑5号铺,13929166526,佛山市顺德区乐从镇广豪电动车行
181,顺德区杏坛镇河北路12号杏坛大酒店1楼A11号商铺,13928229963,顺德区杏坛镇旋意车行
182,广东省佛山市顺德区乐从镇水藤村入村大道南侧3号地之八,18028104595,佛山市顺德区乐从镇日阳电动车行
183,佛山市禅城区市东下路18号之二一座首层部分,13929996910,佛山市伟创盛贸易有限公司
184,广东省佛山市顺德区陈村镇合成居委会二宅基路3号,18169873186,顺德陈村镇高永财电动自行车店
185,广东省佛山市南海区平洲永安北路53号燊兴摩托车维修店,13923172220,佛山市南海区桂城燊兴摩托车商行
186,广东省佛山市南海区罗村联星上二股份经济合作社商业街南区D栋1号,13420727158,佛山市南海区万众电动车经营部
187,佛山市南海区西樵镇樵乐路30号农机站综合楼首层铺位1-4号,13809703001,佛山市南海区西樵声怡车行
188,佛山市南海区里水镇夏塘路118.120号,18988675756,佛山市南海区里水双新车行
189,广东省佛山市南海区狮山镇官窑大榄村第六村民小组人字桥巷2号首层,13923198355,佛山市南海区官窑致兴摩托车行
190,广东省佛山市南海区桂城街道叠南茶基乡口16号铺,13702555098,佛山市南海桂城英杰汽车维修店
191,佛山市南海区大沥广云路沥西路段兴沥雄摩托车城内第壹座B一之四号铺位,18028155468,佛山市南海区大沥新川摩托车商行
192,广东省清远市清城区环城一路嘉裕楼首层,13927684866,清远市清城区威锋电动车行
193,广东省清远市连州市中山北路,13729693612,连州市卫峰车行
194,广东省清远市佛冈县石角镇振兴中路124号,13417247778,佛冈县石角镇江达电动车行
195,广东省清远市英德市浈阳路城市豪庭A13-14号,13824944198,英德市英城雄辉电动车行
196,广东省韶关市西堤中路27号,13726573530,韶关市武江区华方贸易有限公司
197,广东省韶关市南雄市体育路健身广场丁香阁2.3号门店,1358013750,南雄市雄州街道兴顺达车行
198,广东省韶关市乐昌市站前路112号商铺,13030104209,乐昌市平祥摩托车行分店
199,河源市源城区西堤路龙颈巷西侧星河湾畔CD栋123号、CD栋201号,18688095888,河源市源城区龙鼎电动车行
200,连平县忠信镇忠和路26号,13690953733,连平县忠信镇世通电动车店
201,连平县城东园大道丽江豪庭2号,13690967420,连平县城海源车行
202,广东省河源市龙川县沿江路隆西工商所旁,18038517732,龙川县祥达爱玛电动车专卖店
203,广东省梅州市梅州大道17号,15812959663,梅州粤东摩托车销售有限公司
204,广东省梅州市蕉岭县蕉城镇溪峰西路65号,13823879935,蕉岭县志顺车行
205,广东省梅州市兴宁市兴城侨港街53.55号,13539182452,兴宁市新平摩托车行
206,广东省肇庆市端州区端州三路55号龙景花园C幢首层第108卡,13827593398,端州区景盛电动车商行
207,封开县江口大唐路64号,13670255367,封开县江口镇顺创车行
208,封开县莲都镇百吉桥头（室内）,13542956828,封开县莲都镇恒信摩托车行
209,广东省肇庆市四会市高新区龙王庙大道榕园F幢123、124号高铺,13929839073,高新区兴旺摩托车行
210,广东省肇庆市怀集县怀成镇解放中路35号,13902369192,怀集县雷达摩托车销售有限公司
211,广东省肇庆市四会市东城街道清塘村委会大路巷村,15361731350,四会市城中区众达电动车行
212,广宁县南街镇南东二路168号右起第5-6卡,15975290867,广宁县金锋阳电动车行
213,广东省肇庆区鼎湖区莲花镇依坑美食街321国道边第4-6卡,13346563636,鼎湖区广达摩托车行
214,广东省珠海市斗门区井岸镇朝阳区井湾路38号地下铺位,13702778333,斗门区井岸镇实力车行
215,广东省珠海市金湾区红旗镇小林和兴路301号商铺,13192272037,金湾区鸿泽电动自行车商行
216,广州市白云区三元里大道1136号首层之一,18620273009,广州市白云区新市一路顺自行车商店
217,广东省广州市白云区增槎路螺涌围段孖涌商业街自编49号,18666624797,广州市白云区松洲昱铭电动车配件商行
218,广东省广州市番禺区大北路368-376号,13712526789,广州市培胜助动自行车有限公司
219,广东省广州市黄埔区长洲镇金洲北路676号,13710056449,广州市黄埔区长洲锋阳自行车行
220,广东省广州市增城市荔城街开园中路18号,13609094054,广州市增城富阳电动车行
221,广东省广州市花都区狮岭镇杨一村中四经济社,13926297552,广州市花都区狮岭力胜电动车店
222,广东省广州市增城区新塘镇群贤路231号广发大厦北10-12号,18925152668,广州市增城发昌电动车店
223,广州市天河区棠下大片路14号1号铺,13725119842,广州市天河区东棠王记电动自行车店
224,广东省广州市天河区东圃二马路54号103房,15818802898,广州铃金自行车有限公司
225,广东省广州市天河区长兴路24号06房,13729805812,广州市天河区元岗东璇自行车商行
226,广东省广州市白云区太和镇太营路131号,13066317509,广州市白云区太和万杰伦电动车经营部
227,广东省广州市番禺区石楼镇市莲路232号,13535392508,广州市番禺区石楼飞虹助动自行车店
228,广东省广州市番禺区石基镇基龙西路5号,13318798620,广州市番禺区平连助动自行车经营部
229,广东省广州市白云区人和镇鹤龙六路396号,13543452044,广州市白云区人和盛玛电动车购销部
230,广东省广州市南沙区金洲金沙路6号,15102098838,广州市南沙区南沙林楚荣电动自行车店
231,广东省广州市番禺区南村镇金江大道167号,13316113993,广州市番禺区南村永乐摩托车店
232,广东省广州市萝岗开发区荔红路93号,13352807934,广州市萝岗区陈耀自行车店
233,广州市荔枝湾区中南街赤岗西约398号之一,13172028665,广州市荔湾区冬娥商行
234,广东省广州市黄埔区港湾西四街66号大院9-10号铺,13676290900,广州市黄埔区学博自行车店
235,广东省广州市花都区新华街宝华路35号,15975388188,广州市花都区新华聚兴助动自行车经营部
236,广东省广州市番禺区大石街大山村祥和路13号,18613008600,广州同推机电设备有限公司
237,广州市海珠区石榴岗19号自编C32档,15322078355,广州市海珠区安骑自行车店
238,广东省广州市番禺区大龙街石岗东路清河市场牌坊旁,13078858338,广州市番禺区石基博美助力自行车店
239,广东省广州市番禺区东涌镇东兴三街13-17号,18925064256,广州市南沙区东涌福东兴电动自行车商行
240,广东省广州市从化市城郊街新村北路25-27号,18688483851,广州市从化街口忠强电动自行车行
241,广东省广州市白云区均禾街石加路30号,15902055031,广州市白云区均禾柏嘉达车行
242,广东省广州市白云区石门街红星村石沙路262号A栋4号铺,13710812008,广州市白云区石井添家桦电动自行车车行
243,广州市白云区江高镇江人一路14号,13392484950,广州市白云区江高辉进电动车店
244,广东省广州市白云区鹤龙街黄边后花园30号,15920431878,广州市白云区黄石玛骑腾车行
245,广东省广州市萝岗区镇龙大道217号,13760798663,广州市萝岗区新城农机修理部
246,广东省中山市火炬开发区张家边一村,13923347009,中山火炬开发区骏驰电动自行车商行
247,广东省揭阳市区东山美阳马牙路与美阳路交界处爱玛车行,15361207998,揭阳市榕城区东兴爱马摩托车行
248,广东省揭阳市普宁市兰花广场北侧100米,18923532355,广东省揭阳市普宁市秦妙芬
249,广东省揭阳市揭西县棉湖镇洪棉路41号潮信车行,18998261883,揭西县棉湖潮信车行
250,广东省揭阳市揭西县河婆河江大道（汽贸门市对面）,13502563826,揭西县河婆准巢电动车行
251,广东省揭阳市惠来县惠城镇站南路东侧中裕花园首层大门往北2-3间,18813679786,惠来县惠城镇风顺摩托车行
252,广东省揭阳市惠来县葵潭镇广汕大道116号,13542229963,广东省惠来县葵潭镇郑文场
253,广东省潮州市潮安县金石镇金石大道中段,13413744447,潮州市潮安区金石镇今喜车行
254,广东省潮州市饶平县黄冈镇沿河北路37号之1-之2,13923526588,饶平县黄冈广达贸易商行
255,广东省汕尾市城南路397-399号,13828983920,汕尾市城区小禾摩托车行
256,广东省汕尾市海丰县红城大道东爱玛专卖店,13411089998,海丰县城东日马电动车门店
257,广东省汕尾陆丰市广汕公路红荔花园,13751939644,陆丰市东海爱玛电动车行
258,广东省汕尾市陆河县县城人民中路257号,15914966002,陆河县城新锦昌摩托车经营部
259,广东省汕头市金砂西路8号、东花园楼下爱玛车行,13433337963,汕头市金平区金东骑乐电动车行
260,广东省汕头市潮阳区棉城城南棉新路,15915532789,魏岳杰
261,广东省汕头市潮阳区谷饶镇茂广谷苑B幢1-2号,13421896948,汕头市潮阳区谷饶健洲摩托车行
262,广东省汕头市龙湖区长江路,13318090408,汕头市龙湖区万福车行
263,广东省汕头市濠江区磊广大道怡丰花园（供电局附近）,13531152704,汕头市濠江区老四摩托车行
264,广东省汕头市澄海区莲上镇永新邮电局对面,13682950555,汕头市澄海区东雁车辆贸易有限公司
265,广东省惠州市惠城区鹅岭西路18号上排保骆园,13502277390,惠州市惠城区路得宝电动自行车环城西店
266,广东省深圳市宝安十一区新乐一街三号,18927441952,深圳市宝安区新安爱马王自行车商行
267,广东省深圳市南山区南山街道南光天安宿舍6栋2号铺,13612869904,深圳市南山区天安顺程自行车行
268,深圳市南山区沙河街道新塘路5-1号,13544031820,深圳市南山区台顺电动车专卖店
269,广东省深圳市宝安区西乡镇固戌一路593号,13556892881,深圳市宝安区西乡达鑫自行车行
270,广东省深圳市宝安区福永镇福永街道福永社区43-47号,13828738983,深圳市宝安区福永本三自行车店
271,广东省深圳市宝安区西乡街道宝兴花园1栋112号,15813888608,深圳市宝安区西乡徐伟自行车修理店
272,广东生活上深圳市宝安区新安街道31区上川路112号,13632685798,深圳市宝安区新安鑫强庭自行车行
273,广东省深圳市宝安区大浪街道龙胜社区工业西路龙凤城市酒店一楼A01号（龙凤镇）,13025453999,深圳市龙华新区大浪广和单车行
274,广东省深圳市龙华新区龙华街道松和新村东一巷1号,13510577569,深圳市龙华新区龙华鸿兴电动车商行
275,广东省深圳市宝安区沙井镇沙井大街260号,18948759781,深圳市宝安区沙井顺意达车行
276,广东省深圳市宝安区松岗街道花果山社区环城路食品大楼1楼107号,13692278698,深圳市宝安区松岗大邦自行车行
277,广东省深圳市光明新区光明街道光明大街翠湖社区57栋104号,18923806213,深圳市光明新区光明酷酷车行
278,广东省深圳市新区公明办事处松白路邮政商铺B6-B9号,18688921383,深圳市光明新区公明广源电动车行
279,广东省深圳市坪山新区立新东路6号,13609629974,深圳市坪山新区深龙摩托车商店
280,广东省深圳市坪山新区坑梓镇宝梓北路41号,15323727492,深圳市坪山新区天祝电动自行车商店
281,广东省深圳市龙岗区葵涌老街道8号一楼,13682585253,深圳市龙岗区葵涌佰成摩托车店
282,广东省深圳市龙岗区龙岗街道龙岗社区龙园路一巷一号一楼,13411877554,深圳市雄发源电动车行商行
283,广东省深圳市平湖街道荔园路51号101-12号商铺,15018505007,深圳市龙岗区恒达电动车行
284,广东省深圳-龙岗区-布吉街道信达商业中心A区1楼A12号,13686884519,深圳市龙岗区布吉威达发电动车行
285,深圳市福田区福田村牛巷68号102,15013415709,深圳市福田区枫速自行车行
286,广东省深圳市龙岗区坪地街道龙岗大道,13113989820,深圳市龙岗区坪地骏跃自行车商行
287,广东省深圳市宝安区石岩街道上下屋社区宝石东路508号103,13570887988,深圳市文力兴贸易有限公司
288,广东省东莞市高埗镇高埗村四区005号之2,13532336822,东莞市高埗佳佳自行车店
289,广东省东莞市万江街道胜利社区坝新路爱迪花园北区前一栋11-12号铺,15818328300,东莞市万江老房自行车店
290,广东省东莞市南城区篁村宏远路14号楼8号铺,13717445788,东莞市南城宜捷自行车店
291,广东省东莞市东坑镇文阁路43号,18929180129,东莞市东坑春燕自行车店
292,广东省东莞市大朗镇求富路,15812850111,东莞市红红自行车有限公司
293,广东省东莞市塘厦镇东兴大道165号,13923624282,东莞市塘厦松佳自行车店
294,广东省东莞市大岭山镇振华路165号,18929142407,东莞市大岭山骑乐自行车店
