,id,name,address,location,pname,cityname,adname,tel,type,typecode
11,B0FFKPUOGZ,爱玛电动车,009县道西50米,"120.699733,32.383093",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
12,B0FFKPUO92,爱玛电动车,八匡路与麒龙路交叉口东北50米,"121.310554,31.936638",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
13,B0FFKOY6RJ,爱玛电动车,东惠线与联防东路交叉口西北50米,"121.789160,31.871888",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
14,B0FFKOLK7T,爱玛电动车,018县道与225省道交叉口西南50米,"120.974419,32.459885",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
15,B0FFKNY0CS,爱玛电动车,永平居路92号附近,"120.579171,32.104040",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
16,B0FFKNWLMR,爱玛电动车,农场线与江心农场中心路交叉口南200米,"121.097233,31.812672",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
17,B0FFKN1PWZ,爱玛电动车,丝绸东路与瑞江路交叉口西北50米,"121.198942,31.901562",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
18,B0FFKMLRDT,爱玛电动车,站前二号路北50米,"120.881503,32.060135",江苏省,南通市,港闸区,[],购物服务;专卖店;自行车专卖店,061208
19,B0FFKLOK6K,爱玛电动车,经济开发区仁寿路266号江苏省如皋制革厂西边,"120.557113,32.403733",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
20,B0FFKLHNFM,爱玛电动车,206县道东50米,"120.680555,32.376592",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
21,B0FFKEKVSI,爱玛电动车,世濠花园114,"120.914120,31.994709",江苏省,南通市,崇川区,[],购物服务;购物相关场所;购物相关场所,060000
22,B0FFKCPBJH,爱玛电动车,人民中路42号西南60米,"120.595987,32.520461",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
23,B0FFK8DJD5,爱玛电动车,X313(北贲线),"120.529121,32.612794",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
24,B0FFK885U2,爱玛电动车,富源路162号,"121.638766,31.826561",江苏省,南通市,启东市,13773891968,购物服务;专卖店;自行车专卖店,061208
25,B0FFK87BQK,爱玛电动车,银河路与027县道交叉口西北50米,"121.190099,32.092448",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
26,B0FFK86QIC,爱玛电动车,人民东路148号附近,"121.426792,31.861933",江苏省,南通市,海门市,18912895303,购物服务;专卖店;自行车专卖店,061208
27,B0FFK863J9,爱玛电动车,海门港新区刘浩路198号,"121.489746,32.056732",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
28,B0FFK85189,爱玛电动车,关口村于港小学斜对面,"120.878957,32.480158",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
29,B0FFK7YITT,爱玛电动车,富锋路东50米,"120.979492,31.999223",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
30,B0FFK6DL32,爱玛电动车,高庄路新澳门酒店东50米,"120.472078,32.514428",江苏省,南通市,海安市,13813797218,购物服务;专卖店;自行车专卖店,061208
31,B0FFJYGG8G,爱玛电动车,河口红星桥,"120.789247,32.481338",江苏省,南通市,如东县,13962844406,购物服务;购物相关场所;购物相关场所,060000
32,B0FFJH50ON,爱玛电动车,仁寿东路皋发加油站西(鑫益药房隔壁),"120.583793,32.404322",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
33,B0FFJGDOM1,爱玛电动车,赵甸线与016县道交叉口东50米,"120.815527,32.147980",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
34,B0FFJF5H9L,爱玛电动车,东惠线与新东公路交叉口东南100米,"121.782730,31.798061",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
35,B0FFJCACU3,爱玛电动车,民人街91号附近,"121.590882,31.827054",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
36,B0FFJA55SP,爱玛电动车,北新线南50米,"121.509976,31.821754",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
37,B0FFJ8PZ3W,爱玛电动车,红旗东路北50米,"120.679282,32.455774",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
38,B0FFJ8OS2R,爱玛电动车,高乐桥中心路北50米,"120.921521,32.323141",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
39,B0FFJ8M5OF,爱玛电动车,016乡道西50米,"121.351816,32.349957",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
40,B0FFJ8BJNJ,爱玛电动车,环镇富民路与环镇路交叉口西南100米,"121.296359,32.131875",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
41,B0FFJ8AJIP,爱玛电动车,环镇南路,"120.782764,32.568807",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
42,B0FFJ7R23E,爱玛电动车,包新街175号附近,"121.422312,32.054317",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
43,B0FFJ7PA8T,爱玛电动车,骏发路与009县道交叉口西北50米,"120.699451,32.405072",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
44,B0FFJ6YLAX,爱玛电动车,人民路248号附近,"121.785573,31.917420",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
45,B0FFJ6BPNH,爱玛电动车,南莫镇沙岗汽车站北,"120.250752,32.609420",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
46,B0FFJ6BG00,爱玛电动车,环镇西路与117乡道交叉口西南100米,"120.785561,32.572950",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
47,B0FFJ5EAL7,爱玛电动车,古亭路与银河路交叉口东南50米,"121.073597,32.072533",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
48,B0FFJ4YOLH,爱玛电动车,215县道与691乡道交叉口南100米,"120.894230,32.511418",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
49,B0FFJ4UQAG,爱玛电动车,315县道南50米,"120.755854,32.521303",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
50,B0FFJ4LQWJ,爱玛电动车,江海西路186东南60米,"120.423677,32.523737",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
51,B0FFJ4K6R1,爱玛电动车,星明路73号附近,"120.910264,32.001954",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
52,B0FFJ4G5T6,爱玛电动车,搬经镇缘龙路碧水新城大门西,"120.403270,32.307371",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
53,B0FFIXDE71,爱玛电动车,大明中国移动手机连锁卖场皋南迅捷店,"120.568485,32.333675",江苏省,南通市,如皋市,18662943637;15162832317,购物服务;专卖店;自行车专卖店,061208
54,B0FFIRZJX0,爱玛电动车,经济技术开发区小海镇星景花园19号楼,"120.971961,31.950248",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
55,B0FFIR7Q25,爱玛电动车,新华路与长泰路交叉口西南150米,"120.823177,32.065540",江苏省,南通市,港闸区,[],购物服务;专卖店;自行车专卖店,061208
56,B0FFIR7KQV,爱玛电动车,恒东路10号附近,"120.757677,32.099364",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
57,B0FFIOUSGB,爱玛电动车,掘港镇青园北路9号,"121.182291,32.311135",江苏省,南通市,如东县,13962792536,购物服务;专卖店;自行车专卖店,061208
58,B0FFIGRB0Q,爱玛电动车,中华东路551号附近,"121.282208,31.889321",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
59,B0FFIEQRMG,爱玛电动车,澪河路与225省道交叉口西北50米,"120.900569,32.457735",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
60,B0FFIDZ0IG,爱玛电动车,临河中心路与惠和镇区西河路交叉口西北50米,"121.709234,31.787069",江苏省,南通市,启东市,13401285503,购物服务;专卖店;自行车专卖店,061208
61,B0FFI9TAWT,爱玛电动车,树西路与长泰路交叉口西南50米,"120.790050,32.085932",江苏省,南通市,港闸区,[],购物服务;专卖店;自行车专卖店,061208
62,B0FFI5JW11,爱玛电动车,嘉陵江路与解放路交叉口南100米,"121.201094,32.346249",江苏省,南通市,如东县,[],购物服务;专卖店;专营店,061200
63,B0FFI32VG8,爱玛电动车,弘江公路19-1号附近,"121.000436,31.849306",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
64,B0FFI2ZONU,爱玛电动车,少直小学东南60米(近王线北),"121.684083,31.920492",江苏省,南通市,启东市,13862873667,购物服务;专卖店;自行车专卖店,061208
65,B0FFI1XMNJ,爱玛电动车,人民西路与江海路交叉口西北50米,"121.165352,31.890587",江苏省,南通市,海门市,13806287078,购物服务;专卖店;自行车专卖店,061208
66,B0FFI1VKGY,爱玛电动车,交通北路与通掘路交叉口东南50米,"121.070631,32.088401",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
67,B0FFI09RM5,爱玛电动车,经济开发区如东县经济开发区农场十字路口,"121.180193,32.349887",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
68,B0FFHYPVAU,爱玛电动车,掘港镇三元世纪城环元北路43号,"121.187902,32.313934",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
69,B0FFHXPT7X,爱玛电动车,金乐镇路与028县道交叉口北50米,"121.070922,32.012568",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
70,B0FFHX9HOJ,爱玛电动车,殷港路与015乡道交叉口西北50米,"120.477533,32.364679",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
71,B0FFHUG1YF,爱玛电动车,四甲镇解放路186号老街十字路口,"121.271471,32.010262",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
72,B0FFHU1DJD,爱玛电动车,永东路与环镇路交叉口西南50米,"121.296895,32.126806",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
73,B0FFHTZDL6,爱玛电动车,新造镇,"121.797628,31.820094",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
74,B0FFHRNHO4,爱玛电动车,荣鑫铝材西南100米(志圩线),"121.617857,31.847433",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
75,B0FFHP2H6B,爱玛电动车,人民路与府前路交叉口西100米,"120.414351,32.166929",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
76,B0FFHO4UHC,爱玛电动车,经济开发区陆桥村大生机戒线路器材有线公司北边,"120.518488,32.401792",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
77,B0FFHNYY9B,爱玛电动车,解放东路北50米,"120.600152,32.378159",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
78,B0FFHNSI4Z,爱玛电动车,惠丰东路北50米,"121.619341,31.770414",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
79,B0FFHNFDKK,爱玛电动车,开元大道西50米,"120.436594,32.505501",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
80,B0FFHFG7ZO,爱玛电动车,寅阳镇兴和北路246-12,"121.813262,31.740993",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
81,B0FFHECS7D,爱玛电动车,瑞兴路63号,"120.988060,31.897872",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
82,B0FFHECS28,爱玛电动车,工业园区管理委员会天补新村路一号,"121.114026,31.924967",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
83,B0FFHE3HI5,爱玛电动车,七九路与北远路交叉口东100米,"121.506959,31.823986",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
84,B0FFHDXSNA,爱玛电动车,民兴路与永兴路交叉口南200米,"121.658130,32.045367",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
85,B0FFHDXSCT,爱玛电动车,海复线与221省道交叉口西南50米,"121.700538,31.984697",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
86,B0FFHDNUL8,爱玛电动车,余东镇富民路树勋中学西400米,"121.350156,31.979389",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
87,B0FFHDB1WA,爱玛电动车,惠丰镇惠丰街东首,"121.616570,31.771060",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
88,B0FFHCYMS8,爱玛电动车,货隆镇镇政府东侧(易买得超市斜对面),"121.277936,32.056611",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
89,B0FFHCE7HD,爱玛电动车,315县道与550乡道交叉口西200米附近,"120.653144,32.516838",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
90,B0FFHBNKS3,爱玛电动车,包庆西路东50米,"120.970808,32.083404",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
91,B0FFH9SO00,爱玛电动车,兴原路与富盛路交叉口西南150米,"120.640177,32.226450",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
92,B0FFH9EG25,爱玛电动车,丰利镇石屏医院东200米十字路口,"121.034367,32.444750",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
93,B0FFH9BLTB,爱玛电动车,吕北公路与袖珍路交叉口东100米,"121.584862,32.006391",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
94,B0FFH97MH3,爱玛电动车,港西中路与银河路交叉口东50米,"121.642799,31.811566",江苏省,南通市,启东市,18552306971,购物服务;专卖店;自行车专卖店,061208
95,B0FFH8ZMUN,爱玛电动车,泰山西路291号,"121.473018,31.924317",江苏省,南通市,海门市,0513-82852211,购物服务;专卖店;自行车专卖店,061208
96,B0FFH8TGJU,爱玛电动车,东惠线与奋进路交叉口西北50米,"121.785734,31.909731",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
97,B0FFH2ZO6K,爱玛电动车,郑顾路与020乡道交叉口西北50米,"120.706894,32.174200",江苏省,南通市,如皋市,[],购物服务;购物相关场所;购物相关场所,060000
98,B0FFH2ZHPD,爱玛电动车,东海镇大丰窑厂,"121.808776,31.836697",江苏省,南通市,启东市,[],购物服务;购物相关场所;购物相关场所,060000
99,B0FFH2Z1WN,爱玛电动车,惠萍镇大同路口,"121.748884,31.769090",江苏省,南通市,启东市,[],购物服务;购物相关场所;购物相关场所,060000
100,B0FFH2BKMJ,爱玛电动车,金乐公路与金乐路交叉口北150米,"121.082303,32.041273",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
101,B0FFH24XO0,爱玛电动车,余东镇正麒线余东派出所南250米,"121.357175,32.010439",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
102,B0FFGYG1WB,爱玛电动车,天补新村路1号,"121.427257,31.936508",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
103,B0FFGYDA6L,爱玛电动车,包新街285号,"121.422463,32.055996",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
104,B0FFGYC3H3,爱玛电动车,新公路与育才路交叉口西北100米,"120.745526,32.093718",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
105,B0FFGHSUTW,爱玛电动车,朝阳路与通启公路交叉口西北100米,"120.963812,31.956485",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
106,B0FFGEKPU3,爱玛电动车,006县道金三角家具旁,"120.399236,32.432675",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
107,B0FFGCI7DH,爱玛电动车,新华路与资生路交叉口北100米,"120.820786,32.064098",江苏省,南通市,港闸区,[],购物服务;专卖店;自行车专卖店,061208
108,B0FFGBG7JO,爱玛电动车,南阳镇南阳小区对面,"121.706105,31.871349",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
109,B0FFGBA5GP,爱玛电动车,老运盐河路与335省道交叉口东150米,"121.131113,32.049897",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
110,B0FFGAIFRA,爱玛电动车,王川线南50米,"121.255499,31.970279",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
111,B0FFGADZXW,爱玛电动车,019县道东50米,"121.037481,32.250336",江苏省,南通市,如东县,13962792344,购物服务;专卖店;自行车专卖店,061208
112,B0FFGA86I1,爱玛电动车,上雁中心路与022县道交叉口南200米,"121.056839,32.214799",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
113,B0FFGA357N,爱玛电动车,东方大厦西南50米(小刚批发北),"121.189427,32.019361",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
114,B0FFG9WK45,爱玛电动车,汇龙镇团结街58号,"121.665449,31.798721",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
115,B0FFG7R2QF,爱玛电动车,高葛线与208县道交叉口东100米,"120.414747,32.207420",江苏省,南通市,如皋市,13962929367,购物服务;专卖店;自行车专卖店,061208
116,B0FFG7C1A3,爱玛电动车,新坝南路与204国道交叉口北100米,"120.725176,32.139367",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
117,B0FFG71B3G,爱玛电动车,姚池路与197乡道交叉口东北100米,"120.544115,32.551698",江苏省,南通市,海安市,13186560798,购物服务;专卖店;自行车专卖店,061208
118,B0FFG55M2M,爱玛电动车,苏通公路与镇南路交叉口西北50米,"121.069460,31.924640",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
119,B0FFG4JCQV,爱玛电动车,状元路与酒厂西路交叉口北150米,"121.251825,31.933587",江苏省,南通市,海门市,0513-82736110,购物服务;专卖店;自行车专卖店,061208
120,B0FFG3KDKQ,爱玛电动车,204县道与301县道交叉口东北100米,"121.046259,32.447413",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
121,B0FFG3FXU0,爱玛电动车,马塘乡新华幼儿园对面,"120.655401,32.315844",江苏省,南通市,如皋市,18914365883,购物服务;专卖店;自行车专卖店,061208
122,B0FFG35I3G,爱玛电动车,寅阳镇振阳路14号,"121.857718,31.709595",江苏省,南通市,启东市,18862833990,购物服务;专卖店;自行车专卖店,061208
123,B0FFG2XYAL,爱玛电动车,三厂工业园区三厂镇中华中路252号,"121.246310,31.892378",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
124,B0FFG1NAQ4,爱玛电动车,301县道西150米,"120.464100,32.412820",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
125,B0FFG149IK,爱玛电动车,卓吾路与环南路交叉口东50米,"120.568346,32.280507",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
126,B0FFG0UHET,爱玛电动车,经五路东200米,"120.592925,32.114035",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
127,B0FFG0SSZV,爱玛电动车,家家乐超市(南凌店)西70米,"120.612991,32.440599",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
128,B0FFG0RELX,爱玛电动车,九华镇锦绣路政府西侧,"120.693506,32.142650",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
129,B0FFG0QXIU,爱玛电动车,下原镇花园街30号,"120.658596,32.263480",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
130,B0FFG0NTFK,爱玛电动车,红旗东路北50米,"120.696582,32.455598",江苏省,南通市,如皋市,13773847206,购物服务;专卖店;自行车专卖店,061208
131,B0FFG0NTCX,爱玛电动车,东通线与洋海线交叉口西北100米,"121.117982,32.015058",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
132,B0FFG0N4XK,爱玛电动车,严灶中心路与027县道交叉口西50米,"121.139226,32.105412",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
133,B0FFG0MLRN,爱玛电动车,015县道南50米,"120.926131,32.270290",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
134,B0FFG0LU8D,爱玛电动车,013县道西50米,"120.703078,32.330812",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
135,B0FFG0K2EW,爱玛电动车,清蒲路与303县道交叉口西南100米,"120.750569,32.244725",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
136,B0FFG0H9VO,爱玛电动车,008乡道与215县道交叉口北150米,"120.898253,32.547710",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
137,B0FFG0FBKF,爱玛电动车,华铮隆北路与剑锋路交叉口东50米,"120.786050,32.173060",江苏省,南通市,通州区,[],购物服务;购物相关场所;购物相关场所,060000
138,B0FFG0F3O8,爱玛电动车,海王公路与242乡道交叉口南100米,"120.456760,32.487178",江苏省,南通市,海安市,13511573096,购物服务;专卖店;自行车专卖店,061208
139,B0FFG0EV4C,爱玛电动车,川姜镇磨框大桥东300米,"121.061945,31.968968",江苏省,南通市,通州区,15006292035,购物服务;专卖店;自行车专卖店,061208
140,B0FFG07MK7,爱玛电动车,江海西路与618乡道交叉口西150米,"120.862164,32.350203",江苏省,南通市,如东县,13862473796,购物服务;专卖店;自行车专卖店,061208
141,B0FFG04PJ4,爱玛电动车,汇龙镇向阳镇老菜场对面,"121.789557,31.866980",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
142,B0FFFZQGQO,爱玛电动车,绘龙路与缘龙路交叉口东南200米,"120.410856,32.308677",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
143,B0FFFZ919X,爱玛电动车,惠和镇区西河路北50米,"121.712332,31.785836",江苏省,南通市,启东市,13401285503,购物服务;专卖店;自行车专卖店,061208
144,B0FFFZ8XLC,爱玛电动车,长江西路与长江路交叉口南150米,"120.565854,32.098081",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
145,B0FFFZ32FO,爱玛电动车,沿江公路与润五路交叉口西100米,"120.691277,32.065590",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
146,B0FFFYZRXZ,爱玛电动车,庆五路与030县道交叉口西北50米,"121.204688,32.144836",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
147,B0FFFYTRN0,爱玛电动车,沙岗村22组海安沙岗医院附近,"120.244014,32.609308",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
148,B0FFFYAQKY,爱玛电动车,春桃街与023县道交叉口南50米,"121.122775,32.189272",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
149,B0FFFY6544,爱玛电动车,岸西路与022县道交叉口西北50米,"121.052179,32.174264",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
150,B0FFFXA1EZ,爱玛电动车,江海花园13,"121.003220,31.850660",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
151,B0FFFWTIOE,爱玛电动车,新街路与通甲路交叉口东30米路北,"121.034676,31.995810",江苏省,南通市,通州区,13962861450,购物服务;专卖店;自行车专卖店,061208
152,B0FFFWKYFB,爱玛电动车,明星加油站东北60米(东通线南),"120.988102,32.009065",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
153,B0FFFTEA3S,爱玛电动车,包场路与145乡道交叉口东150米,"120.693144,32.560799",江苏省,南通市,海安市,13063554916,购物服务;专卖店;自行车专卖店,061208
154,B0FFFT9P77,爱玛电动车,通海路170西南80米,"121.347754,31.932423",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店,061208
155,B0FFFT15D4,爱玛电动车,余北中心路与030县道交叉口东南150米,"121.191251,32.063663",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
156,B0FFFFSYZH,爱玛电动车(学田路店),学田路58栋附近,"120.884661,32.013917",江苏省,南通市,崇川区,13921488396,购物服务;专卖店;自行车专卖店,061208
157,B0FFFSLWVY,爱玛电动车,208县道与417乡道交叉口南150米,"120.330363,32.493943",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
158,B0FFFSIVYT,爱玛电动车,东方路与016县道交叉口西50米平东镇人民代表大会附近,"120.780603,32.120118",江苏省,南通市,通州区,[],购物服务;专卖店;自行车专卖店,061208
159,B0FFFRNUP0,爱玛电动车,王鲍聚星镇菜市场路口,"121.547114,31.962096",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
160,B0FFFP4T05,爱玛电动车,海复镇东元镇126号,"121.730791,31.979539",江苏省,南通市,启东市,13776971145,购物服务;专卖店;自行车专卖店,061208
161,B0FFFOSX8U,爱玛电动车,中坝北路5号楼407室,"120.457006,32.544998",江苏省,南通市,海安市,[],购物服务;专卖店;自行车专卖店,061208
162,B0FFFOPXRD,爱玛电动车,友谊西路7号113,"121.175376,32.303320",江苏省,南通市,如东县,13962842085,购物服务;专卖店;自行车专卖店,061208
163,B0FFFOLI7E,爱玛电动车,中心村13组附近,"120.378982,32.150727",江苏省,南通市,如皋市,13921453882,购物服务;专卖店;自行车专卖店,061208
164,B0FFFOHFB6,爱玛电动车,青年中路284号,"121.016519,32.120910",江苏省,南通市,通州区,15906289387,购物服务;专卖店;自行车专卖店,061208
165,B02010XIWZ,爱玛电动车,怡园北村32幢,"120.851422,32.049090",江苏省,南通市,港闸区,15950885220,购物服务;专卖店;自行车专卖店,061208
166,B02010XFIL,爱玛电动车,009乡道与311县道交叉口东50米,"120.509528,32.301535",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
