,code,name,address,tel,gps,level,openTime,isClose,pcode,ccode,dcode,p,c,d,longitude,latitude
16,A0010015F89,甘露园雅迪,朝阳区甘露园南里一区7号楼,13241052559,"116.520473,39.922382",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.520473,39.922382
17,A0010015F90,大黄庄雅迪,朝阳区东五环大黄庄桥头,13121960601,"116.55758,39.921551",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.55758,39.921551
18,A0010015F91,石佛营雅迪,朝阳区八里庄125号楼底商,18310436875,"116.502723,39.936698",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.502723,39.936698
19,A0010015F92,南皋雅迪,朝阳区崔各庄乡南皋路,13911572186,"116.524347,40.007453",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.524347,40.007453
20,A0010015F93,百子湾雅迪,百子湾东路沿海赛洛城106-5,15901031497,"116.512283,39.906884",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.512283,39.906884
21,A0010015F94,管庄雅迪,朝阳区管庄西里62号楼南1-101,15931963558,"116.596949,39.919253",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.596949,39.919253
22,A0010015F95,十里河雅迪,朝阳区十里河村,18511668728,"116.273086,39.838102",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.273086,39.838102
23,A0010015F96,左家庄雅迪,朝阳区左家庄西街5号院5号楼底商,13681279526,"116.446425,39.956611",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.446425,39.956611
24,A0010015F97,芍药居雅迪,朝阳区芍药居北里318楼1层318-5,13911055517,"116.437808,39.992573",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.437808,39.992573
25,A0010015F98,管庄西里雅迪,朝阳区管庄西里78-120,13811197464,"116.590623,39.91987",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.590623,39.91987
26,A0010015F118,立水桥雅迪,昌平区东小口镇嘉诚花园8号楼,17701037516,"116.411637,40.051669",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.411637,40.051669
27,A0010015F120,康庄雅迪,康庄镇四街,13683660230,"116.471857,39.891817",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.471857,39.891817
28,A0010015F63,冷泉雅迪,海淀区西北旺镇冷泉村518号,13001905908,"116.230811,40.040841",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.230811,40.040841
29,A0010015F68,花园路雅迪,海淀区花园路13号,13501301201,"116.370924,39.978883",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.370924,39.978883
30,A0010015F69,看丹桥雅迪,丰台区看丹桥西南开西里22号,13520941218,"116.28556,39.845828",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.28556,39.845828
31,A0010015F70,首经贸雅迪,丰台区花乡首经贸东街1号院回迁楼,18810037787,"116.331194,39.84649",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.331194,39.84649
32,A0010015F71,三营门雅迪,丰台区南苑路辅路,18510757748,"116.403361,39.823868",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.403361,39.823868
33,A0010015F72,新发地雅迪,丰台区新发地天伦锦城15号楼B座,18911667226,"116.340138,39.824696",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.340138,39.824696
34,A0010015F73,岳各庄南桥雅迪,丰台区岳各庄南桥西33号,18630092566,"116.282513,39.878277",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.282513,39.878277
35,A0010015F74,马家堡雅迪,丰台区马家堡路25号,13621316667,"116.393454,39.871283",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.393454,39.871283
36,A0010015F75,火车站雅迪,丰台区正阳大街2号,13522631890,"116.29422,39.854431",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.29422,39.854431
37,A0010015F76,红莲市场雅迪,丰台区西站南路红莲市场,13001170099,"116.329923,39.881759",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.329923,39.881759
38,A0010015F77,刘家窑雅迪,丰台区刘家窑桥南路西100米,13269955567,"116.428143,39.861591",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.428143,39.861591
39,A0010015F78,卢沟桥雅迪,卢沟桥小月中路新悦家园5号楼3号,13126628802,"116.240756,39.851255",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.240756,39.851255
40,A0010015F79,长辛店雅迪,丰台区长辛店大街第十中学旁,13521591948,"116.213429,39.820537",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.213429,39.820537
41,A0010015F80,青塔雅迪,丰台区青塔西路43号院,13161529585,"116.27132,39.899568",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.27132,39.899568
42,A0010015F81,角门雅迪,丰台区角门路马家堡西里56号楼底商,18911667069,"116.378022,39.856782",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.378022,39.856782
43,A0010015F82,右安门雅迪,丰台区右安门外大街45号,15910990991,"116.370827,39.869226",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.370827,39.869226
44,A0010015F126,于庄雅迪,于庄村沁园春景小区底商5号,15201327781,"116.075616,39.676511",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.075616,39.676511
45,A0010015F127,南磨房雅迪,长辛店北京二七机车厂体育场东150 米,15910907489,"116.40387397,39.914889",二网,8：00-19：00,1,110000,110100,110106,北京市,北京市市辖区,丰台区,116.40387397,39.914889
46,A0010015F100,南沙滩雅迪,朝阳区南沙滩和谐小区,18510006008,"116.378996,40.00471",二网,8：00-19：00,1,110000,110100,110107,北京市,北京市市辖区,石景山区,116.378996,40.00471
47,A0010015F101,神马飞腾雅迪,石景山区苹果也不南路东口,13716282516,"116.204205,39.93521",二网,8：00-19：00,1,110000,110100,110107,北京市,北京市市辖区,石景山区,116.204205,39.93521
48,A0010015F102,麻峪雅迪,石景山区麻峪村北口,15210978978,"116.13392,39.945043",二网,8：00-19：00,1,110000,110100,110107,北京市,北京市市辖区,石景山区,116.13392,39.945043
49,A0010015F103,模式口雅迪,石景山区模式口西里,15510396968,"116.162656,39.939475",二网,8：00-19：00,1,110000,110100,110107,北京市,北京市市辖区,石景山区,116.162656,39.939475
50,A0010015F104,鲁谷雅迪,石景山区鲁谷大街五芳园小区,13521173857,"116.235922,39.90399",二网,8：00-19：00,1,110000,110100,110107,北京市,北京市市辖区,石景山区,116.235922,39.90399
51,A0010015F105,古城雅迪,石景山区古城大街6-12,13141279206,"116.193244,39.920444",二网,8：00-19：00,1,110000,110100,110107,北京市,北京市市辖区,石景山区,116.193244,39.920444
52,A0010015F61,朱房路雅迪,海淀朱房路公交站,15313790691,"116.333312,40.037043",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.333312,40.037043
53,A0010015E03,清华西门雅迪,海淀区清华西门水磨西街27号,13910608279,"116.321212,40.009273",一网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.321212,40.009273
54,A0010015F50,德胜门雅迪,西城区德胜门内大街乙228号,18311100031,"116.386189,39.944563",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.386189,39.944563
55,A0010015F51,西直门雅迪,西城区西直门外南路榆树馆,13611360556,"116.339955,39.973806",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.339955,39.973806
56,A0010015F54,珠市口雅迪,珠市口西大街113-2,15601307360,"116.399852,39.896573",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.399852,39.896573
57,A0010015F55,田村雅迪,海淀区田村路41号院,13121579037,"116.2751,39.935307",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.2751,39.935307
58,A0010015F56,小西天雅迪,海淀区小西天新街口外大街31号院,15801114981,"116.37768,39.95801",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.37768,39.95801
59,A0010015F58,四道口雅迪,海淀区学院南路46-8,13121858768,"116.357087,39.963582",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.357087,39.963582
60,A0010015F59,西三旗雅迪,海淀区建材西路85号,13161909077,"116.341509,40.064197",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.341509,40.064197
61,A0010015F60,上庄雅迪,海淀区上庄镇村东口幼儿园旁,18911339126,"116.220663,40.104951",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.220663,40.104951
62,A0010015F62,罗庄雅迪,海淀区罗庄东里小区西门9号楼,15712975807,"116.352467,39.980585",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.352467,39.980585
63,A0010015F65,娘娘府雅迪,海淀区香山东路厢红旗娘娘府公交站,13121599920,"116.252186,40.007119",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.252186,40.007119
64,A0010015F66,增光路雅迪,海淀区增光路21号院南院东门,15210260802,"116.336288,39.933548",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.336288,39.933548
65,A0010015F67,西北旺雅迪,海淀区西北旺镇,15910329043,"116.263332,40.048806",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.263332,40.048806
66,A0010015F99,磨房北里雅迪,北京市朝阳区西大望路甲27号东418,18501366696,"116.489033,39.890487",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.489033,39.890487
67,A0010015F122,来广营雅迪,朝阳来广营乡朝来万通市场,13021059310,"116.469576,40.042508",二网,8：00-19：00,1,110000,110100,110108,北京市,北京市市辖区,海淀区,116.469576,40.042508
68,A0010015F116,冯村雅迪,曹各庄后街与西北环线交叉口东北50,13661237238,"116.119228,39.917719",二网,8：00-19：00,1,110000,110100,110109,北京市,北京市市辖区,门头沟区,116.119228,39.917719
69,A0010015F02,城关雅迪,良乡拱辰大街雅迪旗舰店,18911667097,"116.148237,39.733855",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.148237,39.733855
70,A0010015F03,窦店雅迪,房山区窦店镇窦店大街,13911325239,"116.074812,39.652845",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.074812,39.652845
71,A0010015F04,安庄村雅迪,房山区良乡镇安庄商业街雅迪电动车,13693636241,"116.126731,39.757539",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.126731,39.757539
72,A0010015F05,大石窝雅迪,房山区大石窝镇商业街窦店路口南100米 ,13552080009,"115.825999,39.563901",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,115.825999,39.563901
73,A0010015F06,张家场雅迪,房山区长阳镇张家厂村长阳路南50米 ,13520777276,"116.228587,39.770561",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.228587,39.770561
74,A0010015F07,岳各庄雅迪,房山区韩村河镇岳各庄大街雅迪专卖店房易路附近 ,13716771000,"115.914724,39.617043",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,115.914724,39.617043
75,A0010015F08,吴庄村雅迪,房山区阎村镇南坊村公交车站南,15711382906,"116.060121,39.740429",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.060121,39.740429
76,A0010015F09,古城电器雅迪,房山区张坊镇古城大街,13718191119,"115.721531,39.576986",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,115.721531,39.576986
77,A0010015F10,坨里雅迪,房山区青龙湖镇坨里大街南口,15910373789,"116.039119,39.777467",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.039119,39.777467
78,A0010015F11,兴隆庄村雅迪,北京市房山区房窑路9号 ,15001004105,"116.161142,39.646761",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.161142,39.646761
79,A0010015F13,大董村雅迪,房山区闫村镇大董村,13716660505,"116.06851,39.722195",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.06851,39.722195
80,A0010015F64,翠微路雅迪,海淀区翠微路甲24号,18911667268,"116.309979,39.919255",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.309979,39.919255
81,A0010015F125,徐辛庄雅迪,徐辛庄村西水务所旁,18611685243,"116.695136,39.99246",二网,8：00-19：00,1,110000,110100,110111,北京市,北京市市辖区,房山区,116.695136,39.99246
82,A0010015F36,宋庄雅迪,通州区宋庄镇,13651133889,"116.738218,39.948178",二网,8：00-19：00,1,110000,110100,110112,北京市,北京市市辖区,通州区,116.738218,39.948178
83,A0010015F37,周营雅迪,通州区马驹桥镇周营村,13811837530,"116.5678639,39.731864",二网,8：00-19：00,1,110000,110100,110112,北京市,北京市市辖区,通州区,116.5678639,39.731864
84,A0010015F38,马驹桥雅迪,通州区马驹桥镇莲水怡园底商,15911039010,"116.590519,39.808401",二网,8：00-19：00,1,110000,110100,110112,北京市,北京市市辖区,通州区,116.590519,39.808401
85,A0010015F39,次渠雅迪,通州区次渠大街怡芳园5号4单元,13651337796,"116.59065,39.8084",二网,8：00-19：00,1,110000,110100,110112,北京市,北京市市辖区,通州区,116.59065,39.8084
86,A0010015F124,白庙雅迪,北七家镇白庙村203号,13522045188,"116.379841,40.106493",二网,8：00-19：00,1,110000,110100,110112,北京市,北京市市辖区,通州区,116.379841,40.106493
87,A0010015G128,顺义石园雅迪,石园西区,15313790691,"116.668548,40.118259",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.668548,40.118259
88,A0010015F112,巨各庄雅迪,密云县巨各庄镇,13716161613,"116.954173,40.383402",二网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.954173,40.383402
89,A0010015F113,顺义俸伯雅迪,北京市顺义区俸伯小学对面（商场底商）,13717749994,"116.722985,40.139742",二网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.722985,40.139742
90,A0010015F114,顺义义宾雅迪,顺义区义宾南区甲1-25号,01069460037,"116.654853,40.138205",二网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.654853,40.138205
91,A0010015G01,顺义杨镇雅迪店,顺义区顺平路杨镇段南一号,13439518664,"116.6244,40.125356",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.6244,40.125356
92,A0010015G02,顺义大孙各庄雅迪,顺义区大孙各庄镇府前东街6号,18911667205,"116.928028,40.097224",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.928028,40.097224
93,A0010015G03,顺义北务雅迪,顺义区商业街西侧商住楼31号,13581960229,"116.823125,40.071914",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.823125,40.071914
94,A0010015G04,河南村雅迪,顺义区仁和镇河南村安定路4号,18410097590,"116.707656,40.106814",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.707656,40.106814
95,A0010015G05,北小营雅迪,顺义区北小营镇政府西路21-1号,13311169733,"116.722929,40.139698",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.722929,40.139698
96,A0010015G06,牛栏山雅迪,顺义区牛栏山农副产品市场B座6-7号,13611135518,"116.659784,40.217171",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.659784,40.217171
97,A0010015G08,高丽营雅迪,顺义区高丽营镇四村村委会东侧100米,13621398522,"116.508831,40.175995",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.508831,40.175995
98,A0010015G09,天竺雅迪,顺义区 顺义区天竺镇岗山路口  ,15330221607,"116.611347,40.051874",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.611347,40.051874
99,A0010015G11,张镇雅迪,顺义区张镇西营村张镇大街13号,13701102887,"116.951473,40.157767",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.951473,40.157767
100,A0010015G12,半壁店雅迪,南半壁店东二街与李天路交叉口西南50米 ,18500127167,"116.640383,40.040399",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.640383,40.040399
101,A0010015G13,西马各庄雅迪,顺义区高丽营镇西马各庄村明华街41号3门,13716084317,"116.560323,40.139325",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.560323,40.139325
102,A0010015G14,李遂雅迪,李遂镇潮华路沟北段15号,13241030318,"116.767447,40.106976",三网,8：00-19：00,1,110000,110100,110113,北京市,北京市市辖区,顺义区,116.767447,40.106976
103,A0010015F24,回龙观雅迪,昌平回龙观天露园一区22号楼183-2,13716767183,"116.322936,40.089207",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.322936,40.089207
104,A0010015F25,水屯雅迪,城南街道水屯批发市场 ,13910591806,"116.234528,40.201789",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.234528,40.201789
105,A0010015F26,白坊雅迪,昌平区天通苑白坊市场南门60-61,13601030976,"116.451967,40.078025",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.451967,40.078025
106,A0010015F27,西关雅迪,昌平区西关路建明里小区1号楼6-2,18911667066,"116.231864,40.22955",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.231864,40.22955
107,A0010015F28,兴寿雅迪,昌平区兴寿镇兴寿村市场街,13520740478,"116.421805,40.226181",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.421805,40.226181
108,A0010015F29,南口雅迪,昌平区南口镇东升街10号,15718807901,"116.141954,40.243427",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.141954,40.243427
109,A0010015F30,半截塔雅迪,昌平区半截塔村,13552875304,"116.410323,40.087073",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.410323,40.087073
110,A0010015F31,沙河桥雅迪,昌平区沙河镇龚华城大街,15311238716,"116.274595,40.13104",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.274595,40.13104
111,A0010015F32,霍营雅迪,昌平区霍营村,18910157065,"116.371068,40.080827",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.371068,40.080827
112,A0010015F33,小汤山雅迪,昌平区小汤山镇马坊村,15910662264,"116.407457,40.159884",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.407457,40.159884
113,A0010015F34,东沙各庄雅迪,昌平区东沙各庄市场,13366396775,"116.415937,40.13421",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.415937,40.13421
114,A0010015F35,白庙雅迪,昌平区北七家镇白庙中街,13520332838,"116.431045,40.124055",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.431045,40.124055
115,A0010015F123,学院路雅迪,清华东路17-15,13171670788,"116.359582,40.011376",二网,8：00-19：00,1,110000,110100,110114,北京市,北京市市辖区,昌平区,116.359582,40.011376
116,A0010015E02,黄村雅迪,北京市大兴区车站北里甲21号楼,15910819002,"116.340357,39.72863",一网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.340357,39.72863
117,A0010015F14,西红门雅迪,大兴西红门路绿林苑小区2098西红门西红门路9-8号 ,15237681230,"116.373911,39.800847",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.373911,39.800847
118,A0010015F15,青云雅迪,大兴区青云店镇中心小学对面,15699766508,"116.524101,39.686957",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.524101,39.686957
119,A0010015F16,狼垡雅迪,大兴区狼垡二村,18600563591,"116.292215,39.788242",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.292215,39.788242
120,A0010015F17,德茂庄雅迪,大兴区德茂庄德裕街6号,13716735190,"116.441544,39.783135",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.441544,39.783135
121,A0010015F18,采育雅迪,北京大兴区采育镇,15313550596,"116.64271,39.657639",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.64271,39.657639
122,A0010015F19,小红门雅迪,大兴区旧宫镇北科技路南1幢A区2-014号,13161562914,"116.450342,39.815513",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.450342,39.815513
123,A0010015F20,南小街雅迪,大兴区芳园里13号楼1层101室,15801269074,"116.420565,39.792411",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.420565,39.792411
124,A0010015F21,魏善庄雅迪,大兴区魏善庄镇团河中街西三巷东150米 ,18210388656,"116.413526,39.673819",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.413526,39.673819
125,A0010015F22,南大红门雅迪,大兴区青云店镇南大红门小学向南200米路东,18513665159,"116.471535,39.728917",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.471535,39.728917
126,A0010015F23,金荣园雅迪,金星路口北金荣园小区物业楼3号底商,13910827299,"116.386683,39.774127",二网,8：00-19：00,1,110000,110100,110115,北京市,北京市市辖区,大兴区,116.386683,39.774127
127,A0010015F41,杨宋雅迪,怀柔区杨宋镇,13718611232,"116.691446,40.293659",二网,8：00-19：00,1,110000,110100,110116,北京市,北京市市辖区,怀柔区,116.691446,40.293659
128,A0010015G07,桥梓雅迪,桥梓镇怀长路老赵蔬菜水果店东10米,15101165620,"116.584962,40.296505",三网,8：00-19：00,1,110000,110100,110116,北京市,北京市市辖区,怀柔区,116.584962,40.296505
129,A0010015F01,平谷雅迪,平谷区新平东路47号,15910326079,"117.13002,40.144683",二网,8：00-19：00,1,110000,110100,110117,北京市,北京市市辖区,平谷区,117.13002,40.144683
130,A0010015F107,通州雅迪电动车,通州区新华南路,13911695455,"116.66417,39.910715",二网,8：00-19：00,1,110000,110100,110117,北京市,北京市市辖区,平谷区,116.66417,39.910715
131,A0010015F115,顺义后沙峪雅迪,顺义区后沙峪镇华冠建材城西口北底商,18911667202,"116.549437,40.116513",二网,8：00-19：00,1,110000,110100,110117,北京市,北京市市辖区,平谷区,116.549437,40.116513
132,A0010015F108,平谷雅迪,平谷区新平东路62号,15910326079,"117.130468,40.14368",二网,8：00-19：00,1,110000,110100,110118,北京市,北京市市辖区,密云区,117.130468,40.14368
133,A0010015F109,密云雅迪,密云县新南路总店,15001175444,"116.855367,40.376242",二网,8：00-19：00,1,110000,110100,110118,北京市,北京市市辖区,密云区,116.855367,40.376242
134,A0010015F110,北庄镇雅迪,密云县北庄镇,13661090967,"117.187608,40.515194",二网,8：00-19：00,1,110000,110100,110118,北京市,北京市市辖区,密云区,117.187608,40.515194
135,A0010015F111,大城子雅迪,密云县大城子镇,13716367448,"117.116144,40.399329",二网,8：00-19：00,1,110000,110100,110118,北京市,北京市市辖区,密云区,117.116144,40.399329
136,A0010015F40,城区雅迪,延庆绿富隆底商,18910836087,"115.997417,40.469712",二网,8：00-19：00,1,110000,110100,110119,北京市,北京市市辖区,延庆区,115.997417,40.469712
137,A0010015F119,新东郊市场雅迪,朝阳区新东郊市场,18191699209,"108.95309829,34.2777999",二网,8：00-19：00,1,110000,110100,110119,北京市,北京市市辖区,延庆区,108.95309829,34.2777999
138,A0022009F65,唐口雅迪,津塘路10号雅迪专卖,13752728369,"117.027528,39.440061",二网,8：00-19：00,1,120000,120100,120102,天津市,天津市市辖区,河东区,117.027528,39.440061
139,A0022009F08,六纬路雅迪专卖店,万达公馆对面179号雅迪专卖,15922247588,"117.241996,39.11578",二网,8：00-19：00,1,120000,120100,120102,天津市,天津市市辖区,河东区,117.241996,39.11578
